Vraiment	Rg	VRAIMENT
rude	Ag	RUDE
combat	Nc	COMBAT
Et	Vvc	Et
s'	Cs	SI
il	Pp	IL
n'	Rp	NE
est	Vuc	ÊTRE
secouru	Ge	SECOURIR
...	Fs	...
N'	Vvc	N'
en	Pp	EN
soyez	Vuc	ÊTRE
plus	Rg	PLUS
en	S	EN
peine	Nc	PEINE
,	Fw	,
Il	Vvc	Il
vient	Vvc	VENIR
,	Fw	,
que	Cs	QUE
votre	Ds	VOTRE
esprit	Nc	ESPRIT
ne	Rp	NE
soit	Vuc	ÊTRE
plus	Rg	PLUS
à	S	À
la	Da	LE
gêne	Nc	GÊNE
;	Fw	;
Car	Nc	CAR
nous	Pp	NOUS
voyons	Vvc	VOIR
assez	Rg	ASSEZ
que	Cs	QUE
ce	Dd	CE
coeur	Nc	CUR
innocent	Ag	INNOCENT
Ne	Vvc	Ne
saurait	Vvc	SAURER|SAVOIR
plus	Rg	PLUS
cacher	Vvn	CACHER
l'	Da	LE
aise	Nc	AISE
qu'	Pr	QUE
il	Pp	IL
en	Pp	EN
ressent	Vvc	RESSENTIR
.	Fs	.
Hélas	Vvc	Hélas
!	Fs	!
parle	Vvc	PARLER
pour	S	POUR
moi	Pp	JE
.	Fs	.
Vous	Pp	VOUS
êtes	Vuc	ÊTRE
admirable	Ag	ADMIRABLE
!	Fs	!
Si	Cs	SI
j'	Pp	JE
étais	Vuc	ÊTRE
à	S	À
ses	Ds	SON
yeux	Nc	OEIL|YEUX
autant	Rg	AUTANT
que	Cs	QUE
vous	Pp	VOUS
aimable	Ag	AIMABLE
,	Fw	,
Ne	Vvc	Ne
vous	Pp	VOUS
en	Pp	EN
pensez	Vvc	PENSER
pas	Rg	PAS
moquer	Vvn	MOQUER
,	Fw	,
je	Pp	JE
sais	Vvc	SAVOIR
fort	Rg	FORT
bien	Rg	BIEN
Qu'	Vvc	Qu'
il	Pp	IL
ne	Rp	NE
s'	Pp	SE
ennuierait	Vvc	ENNUYER
pas	Rg	PAS
dedans	Rg	DEDANS
mon	Ds	MON
entretien	Nc	ENTRETIEN
.	Fs	.
Adorable	Ag	ADORABLE
beauté	Nc	BEAUTÉ
pour	S	POUR
qui	Pr	QUI
mon	Ds	MON
coeur	Nc	CUR
soupire	Vvc	SOUPIRER
,	Fw	,
Incomparable	Ag	INCOMPARABLE
objet	Nc	OBJET
dont	Pr	DONT
j'	Pp	JE
adore	Vvc	ADORER
l'	Da	LE
empire	Nc	EMPIRE
,	Fw	,
Beaux	Nc	BEAU
yeux	Nc	OEIL|YEUX
,	Fw	,
mes	Ds	MON
seuls	Ag	SEUL
vainqueurs	Nc	VAINQUEUR
,	Fw	,
dont	Pr	DONT
les	Da	LE
regards	Nc	REGARD
puissants	Ag	PUISSANT
Ont	Vvc	Ont
captivé	Ge	CAPTIVER
mon	Ds	MON
âme	Nc	ÂME
,	Fw	,
et	Cc	ET
ravi	Ge	RAVIR
tous	Di	TOUT
mes	Ds	MON
sens	Nc	SENS
,	Fw	,
Ouvrage	Vvc	OUVRAGER
le	Da	LE
plus	Rg	PLUS
beau	Ag	BEAU
qu'	Cs	QUE
ait	Vuc	AVOIR
produit	Ge	PRODUIRE
la	Da	LE
Nature	Nc	NATURE
,	Fw	,
Tiendrez	Vvc	TENIR
-vous	Nc	-vous
plus	Rg	PLUS
longtemps	Rg	LONGTEMPS
mon	Ds	MON
âme	Nc	ÂME
à	S	À
