,idno,idno,length,author-name,author-gender,title,year,supergenre,genre,subgenre,genre-label,genre-subtitle,narration,availability,setting,protagonist-gender,author-country,author-continent,narrator,decade
rd0107,rd0107,,,Boisgobey,male,BandeRouge2,1886,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0108,rd0108,rd0108,102350,Boisgobey,male,MainFroide,1889,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0109,rd0109,rd0109,74486,Gaboriau,male,Cotillons1,1861,narrative,nouvelles,blanche,n.av.,n.av.,n.av.,restricted,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0110,rd0110,rd0110,84582,Gaboriau,male,Cotillons2,1861,narrative,nouvelles,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0127,rd0127,rd0127,122486,Sue,male,MysteresParis01,1842,narrative,novel,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0128,rd0128,rd0128,123990,Sue,male,MysteresParis02,1842,narrative,novel,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0129,rd0129,rd0129,110843,Sue,male,MysteresParis04,1843,narrative,novel,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0130,rd0130,rd0130,101506,Sue,male,MysteresParis05,1843,narrative,novel,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0131,rd0131,rd0131,89087,Sue,male,MysteresPeuple02,1849,narrative,novel,fantastique,n.av.,histoire,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0132,rd0132,rd0132,121342,Sue,male,MysteresPeuple03,1850,narrative,novel,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0133,rd0133,rd0133,130787,Sue,male,MysteresPeuple04,1850,narrative,novel,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0134,rd0134,rd0134,61981,Sue,male,MysteresPeuple06,1851,narrative,novel,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0135,rd0135,rd0135,168025,Sue,male,MysteresPeuple07,1851,narrative,novel,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0136,rd0136,rd0136,106112,Sue,male,MysteresPeuple08,1853,narrative,novel,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0137,rd0137,rd0137,108462,Sue,male,MysteresPeuple09,1853,narrative,novel,fantastique,n.av.,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0138,rd0138,rd0138,87415,Sue,male,MysteresPeuple10,1854,narrative,novel,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0139,rd0139,rd0139,122576,Sue,male,MysteresPeuple11,1854,narrative,novel,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0140,rd0140,rd0140,108489,Sue,male,MysteresPeuple12,1855,narrative,novel,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0141,rd0141,rd0141,108366,Sue,male,MysteresPeuple13,1856,narrative,novel,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0142,rd0142,rd0142,120117,Sue,male,MysteresPeuple15,1857,narrative,novel,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0143,rd0143,rd0143,163491,Sue,male,MysteresPeuple16,1857,narrative,novel,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0144,rd0144,rd0144,64879,Mirbeau,male,JardinSupplices,1899,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1890s
rd0146,rd0146,rd0146,78766,Mirbeau,male,Calvaire,1887,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0147,rd0147,rd0147,95867,Mirbeau,male,SebastienRoch,1890,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1890s
rd0148,rd0148,rd0148,78130,Mirbeau,male,AbbeJules,1888,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0149,rd0149,rd0149,126082,Verne,male,DeuxAnsVacances,1888,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0167,rd0167,rd0167,109185,Verne,male,FamilleSansNom,1889,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0168,rd0168,rd0168,126624,Verne,male,HectorServadac,1877,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0169,rd0169,rd0169,209989,Verne,male,IleMysterieuse,1875,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0171,rd0171,rd0171,111960,Verne,male,KerabanTetu,1883,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0172,rd0172,rd0172,169395,Verne,male,MathiasSandorf,1885,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0174,rd0174,rd0174,142270,Verne,male,PaysFourrures,1873,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0175,rd0175,rd0175,55612,Verne,male,SecretStoritz,1898,narrative,novel,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1890s
rd0176,rd0176,rd0176,138034,Verne,male,TestamentExcentrique,1899,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,mixed,mixed,n.av.,n.av.,n.av.,1890s
rd0177,rd0177,rd0177,62295,Verne,male,TribulationsChinois,1879,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0178,rd0178,rd0178,149752,Verne,male,VingtMilleLieues,1871,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0300,rd0300,rd0300,77789,Aimard,male,Forestier,1869,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0301,rd0301,rd0301,72132,Aimard,male,BanditsArizona,1881,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0302,rd0302,rd0302,90164,Aimard,male,TrappeursArkansas,1858,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0303,rd0303,rd0303,110369,Aimard,male,RoisOcean2VentEnPanne,1877,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0304,rd0304,rd0304,106228,Aimard,male,RoisOcean2Olonnais,1877,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0305,rd0305,rd0305,61713,Aimard,male,Ourson,1868,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0306,rd0306,rd0306,60130,Aimard,male,BohèmesMer,1865,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0307,rd0307,rd0307,89198,Aimard,male,RodeursFrontieres,1861,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0308,rd0308,rd0308,168921,Aimard,male,ChasseurRats,1877,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0309,rd0309,rd0309,202696,Aimard,male,GrandChefAucas,1858,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0310,rd0310,,,Aimard,male,ChasseurRats2CommDelgres,1877,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0311,rd0311,rd0311,139253,Aimard,male,BelleRiviere,1874,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0312,rd0312,rd0312,96026,Aimard,male,PiratesPrairies,1858,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0313,rd0313,rd0313,117859,Aimard,male,LoiLynch,1859,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0314,rd0314,rd0314,113353,Aimard,male,ChercheurPistes,1858,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0315,rd0315,rd0315,38419,AimardAuriac,male,JimIndien,1879,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0316,rd0316,rd0316,38365,AimardAuriac,male,CoeurPanthere,1879,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0317,rd0317,rd0317,38613,AimardAuriac,male,ForestiersMichigan,1879,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0318,rd0318,rd0318,33694,AimardAuriac,male,AigleNoirDacotahs,1878,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0319,rd0319,rd0319,38450,AimardAuriac,male,PiedsFourchus,1866,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0320,rd0320,rd0320,40399,AimardAuriac,male,TerresOr,1879,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
