idno,words,sents,mean,median,stdev,author-short,author-gender,title,year,genre,subgenre,cf-class
rv0549,61384,5904,10.4,7,10.5624625168,Queneau,male,FleursBleues,1965,novel,blanche,contemporains
rv0550,29493,2703,10.91,8,10.3256751486,Queneau,male,RudeHiver,1939,novel,blanche,contemporains
rv0552,54618,4567,11.96,8,12.0866735647,Queneau,male,PierrotMonAmi,1942,novel,blanche,contemporains
rv0553,100432,7199,13.95,9,16.3238538001,Queneau,male,EnfantsLimon,1938,novel,blanche,contemporains
rv0554,88720,5396,16.44,13,13.1017623401,Camus,male,Peste,1947,novel,blanche,contemporains
rv0556,40034,2688,14.89,12,12.1178729965,Camus,male,MortHeureuse,1938,novel,blanche,contemporains
rv0558,31559,2102,15.01,13,11.0936803206,Camus,male,Chute,1956,novel,blanche,contemporains
rv0559,35164,2305,15.26,13,9.7253496605,Camus,male,Etranger,1942,novel,blanche,contemporains
rv0560,88016,4523,19.46,11,27.8873455701,Camus,male,PremierHomme,1960,novel,blanche,contemporains
rv0576,13425,1595,8.42,8,3.0339503147,Roussel,male,NouvellesImpressions,1932,novel,blanche,contemporains
rv0659,49015,3523,13.91,12,9.3732978966,Ryck,male,ParisMourir,1969,novel,policier,contemporains
rv0660,51630,5106,10.11,8,8.1582272794,Ryck,male,HeuresOuvrables,1963,novel,policier,contemporains
rv0662,51352,3545,14.49,13,9.5956844232,Ryck,male,DrolePistolet,1969,novel,policier,contemporains
rv0664,43859,3088,14.2,12,10.2631138685,Ryck,male,PeauTorpedo,1968,novel,policier,contemporains
rv0665,50147,3377,14.85,13,10.1135335036,Ryck,male,Incroyant,1970,novel,policier,contemporains
rv0666,52730,4356,12.11,10,9.6159236815,Ryck,male,IntentionsPacifiques,1977,novel,policier,contemporains
rv0668,47008,4211,11.16,9,8.2191388625,Ryck,male,VoulezVousMourir,1973,novel,policier,contemporains
rv0669,42498,3438,12.36,11,7.7376883268,Ryck,male,CimetiereDurs,1968,novel,policier,contemporains
rv0670,49593,3354,14.79,13,10.7461038912,Ryck,male,FeuVertPoissonsRouges,1967,novel,policier,contemporains
rv0677,45095,5103,8.84,7,7.3588401155,Amila,male,BonneTisane,1955,novel,policier,contemporains
rv0680,49057,4725,10.38,8,8.5371016235,Amila,male,LuneOmaha,1964,novel,policier,contemporains
rv0681,51521,5285,9.75,8,7.7574732929,Amila,male,NocesSoufre,1964,novel,policier,contemporains
rv0683,47521,5210,9.12,7,6.8871988621,Amila,male,PitieRats,1964,novel,policier,contemporains
rv0684,48449,5129,9.45,8,7.0899485655,Amila,male,NefDingues,1972,novel,policier,contemporains
rv0687,38156,2431,15.7,12,12.4900740994,Bourget,male,Laborantine,1934,novel,blanche,contemporains
rv0692,118223,2594,45.58,20,64.2499326954,Butor,male,EmploiTemps,1956,novel,policier,contemporains
rv0694,18121,969,18.7,9,23.5766586549,Perec,male,CabinetAmateur,1979,novel,blanche,contemporains
rv0695,25202,980,25.72,16,31.766063569,Perec,male,HommeQuiDort,1967,novel,blanche,contemporains
rv0696,78248,5487,14.26,9,15.6377068273,LeClezio,male,ProcesVerbal,1963,novel,blanche,contemporains
rv0699,130283,6426,20.27,19,13.9605693532,LeClezio,male,Desert,1980,novel,blanche,contemporains
rv0706,32183,2937,10.96,8,10.5211618507,Colette,female,Duo,1934,novel,blanche,contemporains
rv0709,38431,3826,10.04,7,10.0931282655,Colette,female,JulieDeCarneilhan,1941,novel,blanche,contemporains
rv0714,19490,1982,9.83,7,8.9347069704,Colette,female,Toutounier,1939,novel,blanche,contemporains
rv0768,136582,9619,14.2,10,14.2458488606,MduGard,male,Thibault7a,1936,novel,blanche,contemporains
rv0769,143951,10999,13.09,9,13.3696272396,MduGard,male,Thibault7b,1936,novel,blanche,contemporains
rv0770,93253,6994,13.33,9,13.59089183,MduGard,male,Thibault8,1940,novel,blanche,contemporains
rv1030,37711,4145,9.1,7,7.7816125569,Japrisot,male,AdieuAmi,1968,film-script,policier,contemporains
rv1031,85888,10573,8.12,7,4.9719269955,Japrisot,male,DameAuto,1966,novel,policier,contemporains
rv1032,132247,9104,14.53,12,10.6821371566,Japrisot,male,EteMeurtrier,1977,novel,policier,contemporains
rv1033,34539,4123,8.38,6,7.2520628221,Japrisot,male,CourseLievre,1972,film-script,policier,contemporains
rv1035,49655,4274,11.62,9,9.1028165864,Japrisot,male,Piège pour Cendrillon,1963,novel,policier,contemporains
rv1036,58947,4532,13.01,9,12.266700056,Japrisot,male,CompartimentTueurs,1962,novel,policier,contemporains
rv1039,53716,4670,11.5,8,10.5646523284,Leblanc,male,CagliostroSeVenge,1935,novel,policier,contemporains
rv1040,48035,4406,10.9,8,9.8061191384,Leblanc,male,ChapeletRouge,1934,novel,policier,contemporains
rv1045,46960,4215,11.14,8,10.4897510654,Leblanc,male,MillardsLupin,1941,novel,policier,contemporains
rv1046,52970,5065,10.46,7,10.2721249874,Leblanc,male,Victor,1933,novel,policier,contemporains
rv1057,45039,4058,11.1,8,9.6710990231,Malet,male,Abattoir,1972,novel,policier,contemporains
rv1058,55241,4866,11.35,9,10.0204123347,Malet,male,BurmaBercail,1967,novel,policier,contemporains
rv1059,58284,8254,7.06,6,4.3951172929,Malet,male,CentVingtRueGare,1943,novel,policier,contemporains
rv1060,48388,4206,11.5,8,10.6190398423,Malet,male,BurmaCourtPoupee,1971,novel,policier,contemporains
rv1061,44993,4043,11.13,8,10.6232576691,Malet,male,CroqueMort,1969,novel,policier,contemporains
rv1062,57808,5172,11.18,8,10.478772502,Malet,male,BurmaEnDirect,1962,novel,policier,contemporains
rv1063,52437,4813,10.89,8,9.9923802597,Malet,male,DroleEpreuve,1968,novel,policier,contemporains
rv1064,51041,5010,10.19,7,9.8264811603,Malet,male,FievreMarais,1955,novel,policier,contemporains
rv1065,36503,3277,11.14,8,10.560700446,Malet,male,BurmaDansIle,1970,novel,policier,contemporains
rv1066,40593,3780,10.74,7,10.9274336015,Malet,male,Soleil,1949,novel,policier,contemporains
rv1067,47555,3828,12.42,9,11.9476420705,Manchette,male,AffaireNGustro,1971,novel,policier,contemporains
rv1068,30205,2597,11.63,9,9.441934252,Manchette,male,Fatale,1977,novel,policier,contemporains
rv1070,54651,5086,10.75,8,9.1624829855,Manchette,male,MorguePleine,1973,novel,policier,contemporains
rv1071,42204,3819,11.05,8,9.4929728728,Manchette,male,Nada,1972,novel,policier,contemporains
rv1072,37694,4201,8.97,7,6.8045074455,Manchette,male,DingosChateaux,1972,novel,policier,contemporains
rv1073,39307,4703,8.36,8,5.2578976207,Manchette,male,PetitBleu,1976,novel,policier,contemporains
rv1076,54356,3997,13.6,10,11.5581214732,Manchette,male,QuedOs,1976,novel,policier,contemporains
rv1101,54508,4699,11.6,10,8.5800046675,Dard,male,LaissezTomber,1950,novel,policier,contemporains
rv1102,43041,4248,10.13,8,8.3181912308,Dard,male,SiropGuepes,1960,novel,policier,contemporains
rv1103,61631,6293,9.79,8,8.0950461929,Dard,male,MoiVousConnaissez,1971,novel,policier,contemporains
