,words,sents,mean,median,mode,stdev,idno,author,author-gender,title,pub-year,crt-year,genre,subgenre,narration,series,simenon3,corpus,romans-corpus
rv0186,136970,2565,53.3996101365,17,1,142.665419735,rv0186,Simon,male,Georgiques,1981,1981,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0187,59663,656,90.949695122,12,2,173.8049147293,rv0187,Simon,male,Palace,1962,1962,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0188,102267,1061,96.3873704053,30,3,196.5061023166,rv0188,Simon,male,Acacia,1989,1989,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0189,72548,2122,34.1885014138,17,11,79.8303237128,rv0189,Simon,male,Bataille,1969,1969,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0190,62357,838,74.4116945107,11,5,188.1232107976,rv0190,Simon,male,Herbe,1958,1958,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0191,27604,179,154.2122905028,96,N/A,167.7359246184,rv0191,Simon,male,Tramway,2001,2001,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0192,95205,1008,94.4494047619,14,1,225.8022852925,rv0192,Simon,male,RouteFlandres,1960,1960,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0193,30087,1873,16.0635344367,13,7,11.9439749157,rv0193,RobbeGrillet,male,n.av.,1981,1981,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0195,37424,1712,21.8598130841,19,N/A,14.7039387553,rv0195,RobbeGrillet,male,Jalousie,1957,1957,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0196,44306,3094,14.3199741435,10,1,15.0739314183,rv0196,RobbeGrillet,male,Marienbad,1961,1961,film-script,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0197,54911,2202,24.9368755677,20,1,21.8483983258,rv0197,RobbeGrillet,male,Reprise,2001,2001,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0198,49927,1570,31.8006369427,24,3,29.2958617473,rv0198,RobbeGrillet,male,Souvenirs,1978,1978,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0199,75678,3559,21.2638381568,18,9,15.8076849721,rv0199,RobbeGrillet,male,Voyeur,1953,1953,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0200,54863,5385,10.1881151346,8,7,8.105804967,rv0200,BoilNarc,male,EtMonTout,1965,1965,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0201,75360,5601,13.454740225,9,5,14.0736627674,rv0201,Rolland,male,ColasBreugnon,1919,1919,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0202,32502,1770,18.3627118644,12,7,21.6615614018,rv0202,Bon,male,Autoroute,1997,1997,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0203,29612,1390,21.3035971223,14,7,22.0822185378,rv0203,Perec,male,Choses,1965,1965,novel,blanche,heterodiegetic,N/A,N/A,contemporains,contemporains
rv0204,27006,744,36.2983870968,25,4,35.3249842679,rv0204,Viel,male,Insoupçonnable,2006,2006,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0205,34508,1115,30.9488789238,24,16,25.616420009,rv0205,Viel,male,Perfection,2001,2001,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0206,37664,2200,17.12,15,13,10.6804051677,rv0206,Audoux,female,MarieClaire,1910,1910,novel,blanche,autodiegetic,N/A,N/A,contemporains,contemporains
rv0207,65054,3739,17.3987697245,15,N/A,11.3522278364,rv0207,Audoux,female,VilleMoulin,1926,1926,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0208,58088,3720,15.6150537634,14,9,9.9363668555,rv0208,Audoux,female,Atelier,1920,1920,novel,blanche,autodiegetic,N/A,N/A,contemporains,contemporains
rv0209,29069,896,32.4430803571,28,18,22.701800813,rv0209,Viel,male,BlackNote,1998,1998,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0210,35957,926,38.8304535637,30,9,32.9102185515,rv0210,Viel,male,ParisBrest,2009,2009,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0211,48640,3048,15.9580052493,14,7,11.0808977156,rv0211,Audoux,female,DouceLumiere,1937,1937,novel,blanche,heterodiegetic,N/A,N/A,contemporains,contemporains
rv0212,39417,3233,12.1920816579,9,4,11.636409966,rv0212,Duras,female,Ravissement,1964,1964,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0213,88552,6203,14.2756730614,12,7,10.5098972191,rv0213,Duras,female,BarragePacifique,1950,1950,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0214,19329,1697,11.3901001768,9,7,8.4246374414,rv0214,Duras,female,ModeratoCantabile,1958,1958,novel,blanche,heterodiegetic,N/A,N/A,contemporains,contemporains
rv0215,31552,1982,15.9192734612,12,6,14.683253154,rv0215,Duras,female,Amant,1984,1984,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0216,29320,2317,12.6542943461,10,2,10.2015106689,rv0216,Duras,female,YeuxBleus,1986,1986,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0217,17558,2770,6.3386281588,5,4,4.9911968276,rv0217,Duras,female,Detruire,1969,1969,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0218,57773,5495,10.5137397634,9,7,7.2112881971,rv0218,Duras,female,PetitsChevaux,1953,1953,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0219,112515,10204,11.0265582125,9,5,8.5347067552,rv0219,Duras,female,MarinGibraltar,1952,1952,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0220,51292,3792,13.526371308,12,9,8.5427900805,rv0220,Duras,female,VieTranquille,1944,1944,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0221,47970,3480,13.7844827586,11,6,11.7212151952,rv0221,Duras,female,JourneesEntieres,1954,1954,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0222,87486,5357,16.3311554975,12,4,14.3897229764,rv0222,Bernanos,male,Imposture,1927,1927,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0223,33277,2026,16.4249753208,13,7,12.804727815,rv0223,Bernanos,male,Mouchette,1937,1937,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0224,98132,6499,15.0995537775,12,7,12.9195111986,rv0224,Bernanos,male,SoleilSatan,1926,1926,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0225,60310,3720,16.2123655914,12,1,14.5277471925,rv0225,Bernanos,male,MauvaisReve,1950,1950,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0226,109627,4044,27.1085558853,19,7,25.2584530805,rv0226,NDiaye,female,Ladivine,2013,2013,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0227,85028,3049,27.8871761233,16,10,32.1236602355,rv0227,NDiaye,female,TroisFemmes,2009,2009,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0228,38108,2851,13.3665380568,11,6,8.9500732903,rv0228,Modiano,male,Inconnues,1999,1999,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0229,36430,2980,12.2248322148,10,7,9.3270437855,rv0229,Modiano,male,Dimanches,1986,1986,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0230,29636,1763,16.8099829836,14,3,13.2297072058,rv0230,Modiano,male,DoraBruder,1997,1997,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0231,35841,2815,12.7321492007,10,5,8.8320432372,rv0231,Modiano,male,PlusLoinOubli,1996,1996,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0232,24384,1611,15.1359404097,12,6,11.388278167,rv0232,Modiano,male,FleursRuine,1991,1991,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0233,34978,3130,11.1750798722,9,6,8.3867013288,rv0233,Modiano,male,Boulevards,1972,1972,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0234,44365,3728,11.9004828326,9,6,9.801710008,rv0234,Modiano,male,QuartierPerdu,1984,1984,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0235,20491,1509,13.5791915176,11,7,9.7956518739,rv0235,Modiano,male,RemisePeine,1988,1988,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0236,46835,4221,11.0957119166,9,4,9.3842571118,rv0236,Modiano,male,RueBoutiques,1978,1978,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0237,33695,2938,11.4686861811,9,8,7.9653696327,rv0237,Modiano,male,CirquePasse,1992,1992,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0238,41920,3595,11.6606397775,9,4,9.4028371496,rv0238,Modiano,male,Jeunesse,1981,1981,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0239,31855,2368,13.4522804054,10,6,10.6101169149,rv0239,Modiano,male,Vestiaire,1989,1989,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0240,45911,3700,12.4083783784,10,5,9.9027151651,rv0240,Modiano,male,VillaTriste,1975,1975,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0241,37583,2775,13.5434234234,11,7,10.3196221294,rv0241,Modiano,male,VoyageNoces,1990,1990,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0321,25347,2052,12.3523391813,8,1,13.1544702334,rv0321,Allais,male,Boomerang,1912,1912,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0322,39300,3157,12.4485270827,8,2,12.4027913016,rv0322,Allais,male,CaptainCap,1902,1902,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0324,42133,3443,12.2372930584,8,1,11.7132593601,rv0324,Colette,female,ClaudineSenVa,1903,1903,novel,blanche,autodiegetic,N/A,N/A,contemporains,contemporains
rv0326,63438,4127,15.3714562636,12,8,12.0593954269,rv0326,Delly,mixed,EntreDeuxAmes,1913,1913,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0338,41448,2858,14.5024492652,11,6,11.9105378017,rv0338,Delly,mixed,EsclaveReine,1910,1910,novel,blanche,heterodiegetic,N/A,N/A,contemporains,contemporains
rv0360,37182,2432,15.2886513158,12,1,12.370037661,rv0360,Galopin,male,GreenPark,1910,1910,novel,policier,autodiegetic,N/A,N/A,contemporains,contemporains
rv0361,123197,8042,15.3191992042,13,1,12.3108398928,rv0361,Galopin,male,MemoiresCambrioleur,1922,1922,novel,policier,homodiegetic,N/A,N/A,contemporains,contemporains
rv0362,40028,2389,16.7551276685,14,1,13.0059031207,rv0362,Galopin,male,Bacille,1928,1928,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0363,198246,16227,12.2170456646,10,1,9.2533134616,rv0363,Galopin,male,Aviateur,1926,1926,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0381,47730,2224,21.4613309353,19,N/A,15.1654051017,rv0381,LeRouge,male,ValleeDesespoir,1928,1928,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0383,235786,20609,11.4409238682,9,1,8.617272135,rv0383,Galopin,male,Aviateur2,1926,1926,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0384,73937,3374,21.9137522229,20,12,14.1476244013,rv0384,LeRouge,male,GuerreVampires,1909,1909,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0385,47672,3455,13.7979739508,11,2,11.2585839362,rv0385,LeRouge,male,Sousmarin,1902,1902,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0386,41389,2188,18.9163619744,16,7,13.4730704093,rv0386,LeRouge,male,ReineElephants,1906,1906,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0387,67886,3183,21.3276782909,19,1,15.5516351491,rv0387,LeRouge,male,PrisonnierMars,1908,1908,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0388,100535,5823,17.2651554182,14,6,12.9116776693,rv0388,LeRouge,male,AventuresToddMarvel2,1923,1923,short_novels,policier,heterodiegetic,N/A,N/A,contemporains,contemporains
rv0389,50896,3399,14.9738158282,13,5,10.5724175768,rv0389,LeRouge,male,DameNoire,1923,1923,novel,policier,heterodiegetic,N/A,N/A,contemporains,contemporains
rv0390,47510,2897,16.3997238523,14,7,12.1623910286,rv0390,LeRouge,male,EspionneLama,1905,1905,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0391,104321,6055,17.2289017341,14,4,13.0965842471,rv0391,LeRouge,male,AventuresToddMarvel1,1923,1923,short_novels,policier,heterodiegetic,N/A,N/A,contemporains,contemporains
rv0392,25378,1444,17.5747922438,14,8,13.3155014125,rv0392,LeRouge,male,EsclaveAmoureuse,1904,1904,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0394,137837,8576,16.0724113806,13,5,12.4989273445,rv0394,LeRouge,male,MysterieuxDrCornelius3,1913,1913,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0395,106008,6152,17.2314694408,14,1,13.7676260564,rv0395,LeRouge,male,MysterieuxDrCornelius2,1913,1913,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0396,126372,7144,17.68924972,15,4,13.0294917778,rv0396,LeRouge,male,MysterieuxDrCornelius1,1913,1913,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0397,76683,5104,15.0240987461,12,6,11.0392222139,rv0397,LeRouge,male,Conspiration3,1900,1900,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0398,73449,4891,15.017174402,12,6,11.95536712,rv0398,LeRouge,male,Conspiration2,1900,1900,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0399,75382,4617,16.3270521984,13,1,12.2939429555,rv0399,LeRouge,male,Conspiration1,1900,1900,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0400,81135,4357,18.6217580904,16,11,12.5158669765,rv0400,LeRougeGuitton,male,PrincesseAirs2,1902,1902,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0401,80250,4318,18.5849930523,16,9,12.8718548554,rv0401,LeRougeGuitton,male,PrincesseAirs1,1902,1902,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0406,39473,1226,32.1965742251,28,1,25.5018411774,rv0406,Loti,male,PrimeJeunesse,1919,1919,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0436,91299,6338,14.4050173556,10,1,13.6301465969,rv0436,Renard,male,MaitreLumiere,1933,1933,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0486,78864,5144,15.3312597201,13,10,11.051867092,rv0486,LeRougeGuitton,male,Conspiration4,1900,1900,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0487,164866,11187,14.7372843479,12,7,11.85927617,rv0487,Giono,male,HussardToit,1951,1951,novel,blanche,heterodiegetic,N/A,N/A,contemporains,contemporains
rv0488,64096,4056,15.8027613412,11,7,15.3291484814,rv0488,Giono,male,RoiSansDivertissement,1947,1947,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0489,67454,6240,10.8099358974,8,4,9.8176693796,rv0489,Giono,male,GrandTroupeau,1931,1931,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0490,81156,8010,10.131835206,8,4,9.1263347118,rv0490,Giono,male,ChantMonde,1934,1934,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0491,96947,7004,13.8416619075,10,5,13.1558845815,rv0491,Malraux,male,ConditionHumaine,1933,1933,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0492,153175,11186,13.6934561058,10,4,12.1793978168,rv0492,Malraux,male,Espoir,1937,1937,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0493,73027,6264,11.6582056194,9,7,8.5525497739,rv0493,Giono,male,GrandsChemins,1951,1951,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0494,58031,3237,17.9274019154,14,7,15.2389873174,rv0494,Malraux,male,NoyersAltenburg,1943,1943,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0495,135205,6536,20.6861995104,18,1,15.7663836955,rv0495,Tournier,male,RoiAulnes,1970,1970,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0496,70979,3600,19.7163888889,18,1,13.865138468,rv0496,Tournier,male,Vendredi,1967,1967,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0497,172337,9373,18.3865357943,15,4,14.1251760938,rv0497,Tournier,male,Meteores,1975,1975,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0498,56997,4200,13.5707142857,11,8,10.0321269389,rv0498,Tournier,male,GoutteOr,1985,1985,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0499,77408,3899,19.8532957169,17,10,14.0372501648,rv0499,Tournier,male,Gaspard,1980,1980,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0500,113271,16340,6.932129743,4,1,8.9457624928,rv0500,Celine,male,ChateauLAutre,1957,1957,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0501,88828,14359,6.1862246675,4,1,7.5401104247,rv0501,Celine,male,GuignolsBand1,1944,1944,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0502,193211,12858,15.0265204542,11,4,13.0299795401,rv0502,Celine,male,VoyageNuit,1932,1932,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0503,148593,16571,8.967050872,4,1,13.5599968496,rv0503,Celine,male,Nord,1960,1960,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0504,36750,2698,13.6212008895,10,5,12.1117368184,rv0504,Giono,male,SolitudePitie,1932,1932,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0505,73913,6371,11.6014754356,9,6,10.8061437652,rv0505,Giono,male,DeuxCavaliersOrage,1965,1965,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0506,88191,1770,49.8254237288,32,7,55.7843054287,rv0506,Butor,male,Modification,1957,1957,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0507,43109,3127,13.7860569236,11,6,10.3084795012,rv0507,Khadra,male,HirondellesKaboul,2002,2002,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0508,119315,9778,12.2023931274,10,6,9.180239167,rv0508,Khadra,male,PartDuMort,2004,2004,novel,policier,n.av.,N/A,N/A,contemporains,contemporains
rv0509,83185,6564,12.672912858,10,7,9.6206279109,rv0509,Khadra,male,SirenesBagdad,2006,2006,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0510,67022,5037,13.3059360731,11,8,10.358623581,rv0510,Khadra,male,Attentat,2005,2005,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0511,122971,9401,13.0806297202,10,6,10.3450052885,rv0511,Khadra,male,AngesMeurent,2013,2013,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0512,78818,6607,11.9294687453,9,6,9.6293275576,rv0512,Khadra,male,AttendentSinges,2014,2014,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0513,36735,888,41.3682432432,30.5,N/A,42.1168551414,rv0513,Toussaint,male,Fuir,2005,2005,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0514,15267,1324,11.5309667674,9,4,9.5548081237,rv0514,Khadra,male,CousineK,2003,2003,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0515,32919,951,34.6151419558,28,4,30.3277425538,rv0515,Toussaint,male,FaireAmour,2002,2002,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0516,42124,986,42.7221095335,34,N/A,36.8238757819,rv0516,Toussaint,male,VeriteMarie,2009,2009,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0517,22308,1394,16.0028694405,13,9,11.1515576088,rv0517,Toussaint,male,SalleBain,1985,1985,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0518,24737,740,33.4283783784,29,27,23.5602506541,rv0518,Toussaint,male,AppareilPhoto,1988,1988,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0519,55672,1507,36.9422694094,27,4,37.358607385,rv0519,Toussaint,male,Television,1997,1997,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0520,74398,6789,10.9586095154,9,6,8.9335888677,rv0520,Khadra,male,RêventLoups,1999,1999,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0521,18706,785,23.8292993631,20,19,18.133023192,rv0521,Toussaint,male,Monsieur,1986,1986,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0522,93428,9075,10.2950964187,8,5,7.7544387487,rv0522,Manotti,male,SombreSentier,1995,1995,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0523,72901,5836,12.4916038382,9,6,10.8475840763,rv0523,Manotti,male,CorpsNoir,2004,2004,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0524,57856,4184,13.82791587,11,6,11.6381684337,rv0524,Manotti,male,BienConnuServices,2010,2010,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0525,231936,26478,8.759573986,6,6,7.8495354569,rv0525,Celine,male,MortCredit,1936,1936,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0526,31202,889,35.0978627672,27,N/A,31.5788599166,rv0526,Bon,male,Enterrement,1991,1991,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0527,52593,2577,20.4086146682,15,8,18.6272248999,rv0527,Bon,male,Limite,1985,1985,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0528,30244,702,43.0826210826,31,17,39.1569129149,rv0528,Bon,male,Mecanique,2001,2001,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0529,37611,905,41.5591160221,30,16,39.7795456378,rv0529,Bon,male,TempsMachine,1993,1993,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0530,37017,1364,27.1385630499,21,10,22.4521128003,rv0530,Bon,male,FaitDivers,1994,1994,novel,policier,mixed,N/A,N/A,contemporains,contemporains
rv0531,44244,1707,25.9191564148,18,8,25.0724649074,rv0531,Bon,male,SortieUsine,1982,1982,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0532,69822,7947,8.7859569649,8,5,5.6063217387,rv0532,Pecherot,male,BoulevardBranques,2005,2005,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0533,61963,7830,7.9135376756,7,6,5.5718511774,rv0533,Pecherot,male,Tranchecaille,2008,2008,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0534,46760,5255,8.8981921979,8,7,5.8186440857,rv0534,Pecherot,male,BrouillardsButte,2001,2001,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0535,65591,7159,9.1620338036,8,6,6.3407241622,rv0535,Pecherot,male,SoleilNoir,2007,2007,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0536,178848,25791,6.9345120391,5,1,9.1597525026,rv0536,Celine,male,GuignolsBand2,1944,1944,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0537,59391,3601,16.4929186337,13,8,12.3042977325,rv0537,Giono,male,Angelo,1958,1958,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0538,36209,3764,9.6198193411,7,3,8.5986023362,rv0538,VianSullivan,male,EllesPasCompte,1950,1950,novel,policier,homodiegetic,N/A,N/A,contemporains,contemporains
rv0539,51223,4515,11.3450719823,8,5,9.4081840136,rv0539,VianSullivan,male,OnTueraAffreux,1948,1948,novel,policier,n.av.,N/A,N/A,contemporains,contemporains
rv0540,35815,3167,11.308809599,8,6,9.9871402032,rv0540,VianSullivan,male,JiraiCracher,1946,1946,novel,policier,homodiegetic,N/A,N/A,contemporains,contemporains
rv0541,54185,5437,9.9659738827,7,4,10.8057122984,rv0541,Vian,male,ArracheCoeur,1953,1953,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0542,71040,7504,9.4669509595,7,4,9.3674244719,rv0542,Vian,male,AutomnePekin,1947,1947,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0543,53323,5120,10.4146484375,8,5,9.2550735808,rv0543,Vian,male,EcumeJours,1947,1947,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0544,39919,3520,11.340625,8,4,10.5772938441,rv0544,Vian,male,HerbeRouge,1950,1950,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0545,32481,3480,9.3336206897,7,4,7.6217638013,rv0545,VianSullivan,male,MortMemePeau,1947,1947,novel,policier,homodiegetic,N/A,N/A,contemporains,contemporains
rv0546,97873,8263,11.8447295171,8,6,14.2146107969,rv0546,Queneau,male,Chiendent,1933,1933,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0547,38396,3093,12.413837698,9,4,11.1562150433,rv0547,Queneau,male,Odile,1937,1937,novel,blanche,autodiegetic,N/A,N/A,contemporains,contemporains
rv0549,61227,5804,10.5491040662,7,4,10.6198568072,rv0549,Queneau,male,FleursBleues,1965,1965,novel,blanche,heterodiegetic,N/A,N/A,contemporains,contemporains
rv0550,29455,2621,11.2380770698,8,6,10.5807957728,rv0550,Queneau,male,RudeHiver,1939,1939,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0551,32861,3138,10.4719566603,9,8,6.3899726305,rv0551,Pecherot,male,Tiurai,1996,1996,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0552,54536,4485,12.1596432553,9,4,12.1806331965,rv0552,Queneau,male,PierrotMonAmi,1942,1942,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0553,100505,6990,14.378397711,9,5,16.8645539938,rv0553,Queneau,male,EnfantsLimon,1938,1938,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0554,88617,5312,16.6824171687,13,10,13.2021273569,rv0554,Camus,male,Peste,1947,1947,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0555,55928,6415,8.7183164458,7,6,6.4855495926,rv0555,Pecherot,male,HommeCarabine,2011,2011,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0556,39935,2567,15.5570705103,12,7,12.1231408909,rv0556,Camus,male,MortHeureuse,1938,1938,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0557,54408,5610,9.6983957219,9,5,6.0603278116,rv0557,Pecherot,male,BellevilleBarcelone,2003,2003,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0558,31552,2083,15.1473835814,13,12,11.1253874285,rv0558,Camus,male,Chute,1956,1956,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0559,35099,2273,15.4417069952,14,11,9.64190622,rv0559,Camus,male,Etranger,1942,1942,novel,blanche,autodiegetic,N/A,N/A,contemporains,contemporains
rv0560,88046,4312,20.4188311688,12,4,28.7588640482,rv0560,Camus,male,PremierHomme,1960,1960,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0573,85781,3394,25.2743076017,24,1,14.4005911007,rv0573,Roussel,female,ImpressionsAfrique,1910,1910,novel,blanche,heterodiegetic,N/A,N/A,contemporains,contemporains
rv0575,80569,2893,27.849637055,26,1,18.0727070975,rv0575,Roussel,male,LocusSolus,1914,1914,novel,blanche,heterodiegetic,N/A,N/A,contemporains,contemporains
rv0576,13431,1568,8.5656887755,8,6,2.9952379356,rv0576,Roussel,male,NouvellesImpressions,1932,1932,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0578,94575,6359,14.8726214814,11,4,12.7616495251,rv0578,SouvAllain,male,MainCoupee,1911,1911,novel,policier,heterodiegetic,N/A,N/A,contemporains,contemporains
rv0579,105045,6538,16.0668400122,13,5,12.7986966808,rv0579,SouvAllain,male,MariageFantomas,1912,1912,novel,policier,heterodiegetic,N/A,N/A,contemporains,contemporains
