idno,words,sents,mean,median,stdev,idno,author,author-gender,title,year,supergenre,genre,subgenre,subsubgenre,narration,decade-pub
rv0677,45095,5103,8.84,7,7.3588401155,rv0677,Amila,male,BonneTisane,1955,narrative,novel,policier,noir,heterodiegetic,1950s
rv0680,49057,4725,10.38,8,8.5371016235,rv0680,Amila,male,LuneOmaha,1964,narrative,novel,policier,neopolar,heterodiegetic,1960s
rv0681,51521,5285,9.75,8,7.7574732929,rv0681,Amila,male,NocesSoufre,1964,narrative,novel,policier,noir,heterodiegetic,1960s
rv0683,47521,5210,9.12,7,6.8871988621,rv0683,Amila,male,PitieRats,1964,narrative,novel,policier,noir,heterodiegetic,1960s
rv0684,48449,5129,9.45,8,7.0899485655,rv0684,Amila,male,NefDingues,1972,narrative,novel,policier,noir,n.av.,1970s
rv0687,38156,2431,15.70,12,12.4900740994,rv0687,Bourget,male,Laborantine,1934,narrative,novel,blanche,blanche,n.av.,1930s
rv0692,118223,2594,45.58,20,64.2499326954,rv0692,Butor,male,EmploiTemps,1956,narrative,novel,policier,litteraire,homodiegetic,1950s
rv0694,18121,969,18.70,9,23.5766586549,rv0694,Perec,male,CabinetAmateur,1979,narrative,novel,blanche,blanche,n.av.,1970s
rv0695,25202,980,25.72,16,31.766063569,rv0695,Perec,male,HommeQuiDort,1967,narrative,novel,blanche,blanche,n.av.,1960s
rv0696,78248,5487,14.26,9,15.6377068273,rv0696,LeClezio,male,ProcesVerbal,1963,narrative,novel,blanche,blanche,n.av.,1960s
rv0699,130283,6426,20.27,19,13.9605693532,rv0699,LeClezio,male,Desert,1980,narrative,novel,blanche,blanche,n.av.,1980s
rv0706,32183,2937,10.96,8,10.5211618507,rv0706,Colette,female,Duo,1934,narrative,novel,blanche,blanche,heterodiegetic,1930s
rv0709,38431,3826,10.04,7,10.0931282655,rv0709,Colette,female,JulieDeCarneilhan,1941,narrative,novel,blanche,blanche,heterodiegetic,1940s
rv0714,19490,1982,9.83,7,8.9347069704,rv0714,Colette,female,Toutounier,1939,narrative,novel,blanche,blanche,heterodiegetic,1930s
rv0768,136582,9619,14.20,10,14.2458488606,rv0768,MduGard,male,Thibault7a,1936,narrative,novel,blanche,blanche,n.av.,1930s
rv0769,143951,10999,13.09,9,13.3696272396,rv0769,MduGard,male,Thibault7b,1936,narrative,novel,blanche,blanche,n.av.,1930s
rv0770,93253,6994,13.33,9,13.59089183,rv0770,MduGard,male,Thibault8,1940,narrative,novel,blanche,blanche,n.av.,1940s
rv1030,37711,4145,9.10,7,7.7816125569,rv1030,Japrisot,male,AdieuAmi,1968,narrative,film-script,policier,n.av.,n.av.,1960s
rv1031,85888,10573,8.12,7,4.9719269955,rv1031,Japrisot,male,DameAuto,1966,narrative,novel,policier,neopolar,mixed,1960s
rv1032,132247,9104,14.53,12,10.6821371566,rv1032,Japrisot,male,EteMeurtrier,1977,narrative,novel,policier,neopolar,homodiegetic,1970s
