idno,author,author-gender,title,pub-year,creation,genre,subgenre,series,words,sents,mean,median,stdev
rv0559,Camus,male,Etranger,1942,1942,novel,blanche,autre,35164,2305,15.2555314534,13,9.7253496605
rv1221,Malet,male,HommeSangBleu,1942,1942,novel,policier,autre,53933,4156,12.9771414822,10,11.6057802759
rv0494,Malraux,male,NoyersAltenburg,1943,1943,novel,blanche,autre,58226,3631,16.0358028091,12,14.8163953196
rv1059,Malet,male,CentVingtRueGare,1943,1943,novel,policier,autre,58284,8254,7.0613036104,6,4.3951172929
rv0220,Duras,female,VieTranquille,1944,1944,novel,blanche,autre,51334,3844,13.3543184183,12,8.5458520026
rv0501,Celine,male,GuignolsBand1,1944,1944,novel,blanche,autre,89010,17721,5.0228542407,4,5.0990623645
rv0536,Celine,male,GuignolsBand2,1944,1944,novel,blanche,autre,180020,35967,5.0051436039,4,4.4784667464
rv1222,Malet,male,AubergeBanlieue,1945,1945,novel,policier,autre,17457,1302,13.4078341014,10,11.9333286164
rv0540,VianSullivan,male,JiraiCracher,1946,1946,novel,policier,autre,35842,3206,11.1796631316,8,9.9525780451
rv0183,Beckett,male,Murphy,1947,1947,novel,blanche,autre,65056,4178,15.5710866443,12,13.7703014953
rv0488,Giono,male,RoiSansDivertissement,1947,1947,novel,blanche,autre,64101,4154,15.4311506981,11,15.0210797885
rv0542,Vian,male,AutomnePekin,1947,1947,novel,blanche,autre,71081,7728,9.1978519669,6,9.3073142136
rv0543,Vian,male,EcumeJours,1947,1947,novel,blanche,autre,53623,5588,9.5960987831,7,9.18129844
rv0545,VianSullivan,male,MortMemePeau,1947,1947,novel,policier,autre,32538,3574,9.1040850588,7,7.5698441642
rv0554,Camus,male,Peste,1947,1947,novel,blanche,autre,88720,5396,16.4418087472,13,13.1017623401
rv0539,VianSullivan,male,OnTueraAffreux,1948,1948,novel,policier,autre,51278,5073,10.1080228662,8,8.5112928482
rv1130,Malet,male,CinquiemeProcede,1948,1948,novel,policier,autre,62403,4664,13.3797169811,10,11.3082921012
rv1131,Malet,male,VieDegueulasse,1948,1948,novel,policier,autre,43761,3985,10.9814303639,8,9.909080102
rv1066,Malet,male,Soleil,1949,1949,novel,policier,autre,40593,3780,10.7388888889,7,10.9274336015
rv1132,Malet,male,Macchabee,1949,1949,novel,policier,autre,29664,2411,12.3036084612,9,10.0217465453
rv1192,Dard,male,ReglezLuiCompte,1949,1949,novel,policier,autre,66983,4928,13.5923295455,11,10.5062016903
rv1223,Malet,male,Sueur,1949,1949,novel,policier,autre,51499,5092,10.1137077769,8,9.5269201745
rv0213,Duras,female,BarragePacifique,1950,1950,novel,blanche,autre,88579,6587,13.447548201,11,10.2600957838
rv0225,Bernanos,male,MauvaisReve,1950,1950,novel,blanche,autre,60390,3888,15.5324074074,12,14.2159990424
rv0538,VianSullivan,male,EllesPasCompte,1950,1950,novel,policier,autre,36225,4045,8.955500618,7,7.9651277983
rv0544,Vian,male,HerbeRouge,1950,1950,novel,blanche,autre,39919,3723,10.722266989,8,10.0110176221
rv1101,Dard,male,LaissezTomber,1950,1950,novel,policier,autre,54508,4699,11.5999148755,10,8.5800046675
rv1224,Malet,male,Cite,1950,1950,novel,policier,autre,20874,1688,12.3661137441,9,12.2205187783
rv0180,Beckett,male,Malone,1951,1951,novel,blanche,autre,52429,2861,18.3254106956,13,17.6397802263
rv0182,Beckett,male,Molloy,1951,1951,novel,blanche,autre,82655,5108,16.1814800313,12,14.6393124521
rv0487,Giono,male,HussardToit,1951,1951,novel,blanche,autre,165451,11728,14.1073499318,11,11.9044622541
rv0493,Giono,male,GrandsChemins,1951,1951,novel,blanche,autre,73094,6369,11.4765269273,9,8.5555892009
rv1250,BoilNarc,male,OmbreProie,1951,1951,novel,policier,autre,45358,5295,8.5661945231,7,7.1171307629
rv0219,Duras,female,MarinGibraltar,1952,1952,novel,blanche,autre,112713,10296,10.9472610723,9,8.3912345275
rv1105,Dard,male,HommagesDonzelle,1952,1952,novel,policier,autre,36908,3309,11.1538229072,9,8.3568909237
rv1225,Malet,male,GangMysterieux,1952,1952,novel,policier,autre,23177,1427,16.2417659425,10,19.7850323675
rv1259,BoilNarc,male,CelleQui,1952,1952,novel,policier,autre,46564,5473,8.5079481089,7,6.7599316093
rv0179,Beckett,male,Innommable,1953,1953,novel,blanche,autre,63089,2335,27.0188436831,14,85.0799930205
rv0199,RobbeGrillet,male,Voyeur,1953,1953,novel,blanche,autre,75782,3750,20.2085333333,17,15.490650315
rv0218,Duras,female,PetitsChevaux,1953,1953,novel,blanche,autre,57875,5544,10.4392135642,9,7.1840561575
rv0541,Vian,male,ArracheCoeur,1953,1953,novel,blanche,autre,54241,5565,9.7468104223,7,10.5161344902
rv1193,Dard,male,PlombTripes,1953,1953,novel,policier,autre,44328,3784,11.7145877378,10,9.0338767341
rv1197,Dard,male,ClientesMorgue,1953,1953,novel,policier,autre,43996,4194,10.4902241297,9,8.1703095316
rv1258,BoilNarc,male,VisagesOmbre,1953,1953,novel,policier,autre,50460,5741,8.7894095105,7,6.8787290069
rv1281,RobbeGrillet,male,Gommes,1953,1953,novel,policier,autre,77222,4845,15.9384932921,12,14.638214764
rv0221,Duras,female,JourneesEntieres,1954,1954,novel,blanche,autre,48064,3598,13.3585325181,10,11.4504211148
rv1133,Malet,male,SoleilNait,1954,1954,novel,policier,autre,49747,5269,9.4414499905,7,8.7060905128
rv1194,Dard,male,PassezMoiJoconde,1954,1954,novel,policier,autre,40763,3769,10.8153356328,9,8.0668715076
rv1257,BoilNarc,male,EntreMorts,1954,1954,novel,policier,autre,48945,5423,9.0254471695,7,7.2028188221
rv0677,Amila,male,BonneTisane,1955,1955,novel,policier,autre,45095,5103,8.8369586518,7,7.3588401155
rv1064,Malet,male,FievreMarais,1955,1955,novel,policier,autre,51041,5010,10.1878243513,7,9.8264811603
rv1134,Malet,male,RatsMontsouris,1955,1955,novel,policier,autre,49065,4545,10.795379538,8,9.7491948044
rv1226,Malet,male,Nuit,1955,1955,novel,policier,autre,56383,5513,10.2272809722,8,9.2031136237
rv1253,BoilNarc,male,Louves,1955,1955,novel,policier,autre,51990,5384,9.6563893016,8,7.5573626093
rv0558,Camus,male,Chute,1956,1956,novel,blanche,autre,31559,2102,15.0137963844,13,11.0936803206
rv0692,Butor,male,EmploiTemps,1956,1956,novel,policier,autre,118223,2594,45.5755589823,20,64.2499326954
rv1135,Malet,male,Corrida,1956,1956,novel,policier,autre,52500,4851,10.8225108225,8,9.2059755564
rv1136,Malet,male,PasDeBavards,1956,1956,novel,policier,autre,63025,5984,10.5322526738,8,9.4216776939
rv1201,Dard,male,Delivrez,1956,1956,novel,policier,autre,33901,3068,11.0498696219,9,7.9031245358
rv1204,Dard,male,BourreauPleure,1956,1956,novel,policier,autre,34976,3424,10.214953271,8,7.2253810654
rv1205,Dard,male,PainFossoyeurs,1956,1956,novel,policier,autre,35242,3356,10.5011918951,9,7.5828164067
rv1208,Dard,male,OnMeurtPas,1956,1956,novel,policier,autre,38535,4004,9.6241258741,8,6.6271719423
rv1227,Malet,male,Brouillard,1956,1956,novel,policier,autre,49891,4383,11.3828428017,8,10.0858010826
rv1255,BoilNarc,male,BoisDormant,1956,1956,novel,policier,autre,24075,1714,14.0460910152,11,11.4419890094
rv1256,BoilNarc,male,MauvaisOeil,1956,1956,novel,policier,autre,32960,3940,8.3654822335,7,6.644636507
rv0195,RobbeGrillet,male,Jalousie,1957,1957,novel,blanche,autre,37341,1860,20.0758064516,17,14.5643974382
rv0500,Celine,male,ChateauLAutre,1957,1957,novel,blanche,autre,112942,22225,5.0817547807,4,4.4762311982
rv0506,Butor,male,Modification,1957,1957,novel,blanche,autre,88345,1848,47.8057359307,30,54.9306196557
rv1137,Malet,male,CassePipe,1957,1957,novel,policier,autre,62481,5975,10.4570711297,8,9.2173634468
rv1138,Malet,male,MicmacMoche,1957,1957,novel,policier,autre,49932,4654,10.7288354104,8,9.1761610564
rv1189,Dard,male,AngesPlumer,1957,1957,novel,policier,autre,37616,3648,10.3114035088,8,7.8603882406
rv1228,Malet,male,Ossements,1957,1957,novel,policier,autre,50079,4598,10.8914745542,8,9.6190921979
