,idno,author-name,author-gender,title,year,supergenre,genre,subgenre,subsubgenre,narration,protagonist-policier,decade
rf1269,rf1269,BoilNarc,male,Maldonne,1962,narrative,novel,policier,suspense,homodiegetic,criminal,1960s
rf1268,rf1268,BoilNarc,male,Victimes,1964,narrative,novel,policier,suspense,homodiegetic,victim,1960s
rf1265,rf1265,BoilNarc,male,MortDit,1967,narrative,novel,policier,suspense,heterodiegetic,victim,1960s
rf1261,rf1261,BoilNarc,male,SecondVisageLupin,1986,narrative,novel,policier,archaique,heterodiegetic,criminal,1980s
rf1262,rf1262,BoilNarc,male,SecretEunerville,1986,narrative,novel,policier,archaique,heterodiegetic,mixed,1980s
rf1263,rf1263,BoilNarc,male,SermentLupin,1987,narrative,novel,policier,archaique,heterodiegetic,criminal,1980s
rf1260,rf1260,BoilNarc,male,Poudriere,1987,narrative,novel,policier,archaique,heterodiegetic,criminal,1980s
rf1005,rf1005,Boisgobey,male,Omnibus,1881,narrative,novel,policier,detection,heterodiegetic,detective,1880s
rf1008,rf1008,Boisgobey,male,VoiletteBleue,1885,narrative,novel,policier,detection,heterodiegetic,detective,1880s
rf1184,rf1184,Boisgobey,male,RubisOngle,1886,narrative,novel,policier,archaique,heterodiegetic,victime,1880s
rf1002,rf1002,Boisgobey,male,OeilChat1,1888,narrative,novel,policier,criminel,heterodiegetic,detective,1880s
rf1009,rf1009,Boisgobey,male,Chat2,1888,narrative,novel,policier,criminel,heterodiegetic,detective,1880s
rf1007,rf1007,Boisgobey,male,CrimeOpera2,1889,narrative,novel,policier,detection,heterodiegetic,detective,1880s
rf1003,rf1003,Boisgobey,male,DoubleBlancB,1889,narrative,novel,policier,archaique,heterodiegetic,criminal,1880s
rf1006,rf1006,Boisgobey,male,CrimeOpera1,1889,narrative,novel,policier,detection,heterodiegetic,detective,1880s
rf0530,rf0530,Bon,male,FaitDivers,1994,narrative,novel,policier,litteraire,mixed,mixed,1990s
rf0692,rf0692,Butor,male,EmploiTemps,1956,narrative,novel,policier,litteraire,homodiegetic,detective,1950s
rf1243,rf1243,Daeninckx,male,DerDesDers,1984,narrative,novel,policier,neopolar,homodiegetic,detective,1980s
rf1245,rf1245,Daeninckx,male,GeantInacheve,1984,narrative,novel,policier,neopolar,heterodiegetic,detective,1980s
rf1015,rf1015,Daeninckx,male,Meurtres,1984,narrative,novel,policier,neopolar,mixed,detective,1980s
rf1247,rf1247,Daeninckx,male,Metropolice,1985,narrative,novel,policier,neopolar,heterodiegetic,detective,1980s
rf1248,rf1248,Daeninckx,male,PlayBack,1986,narrative,novel,policier,neopolar,homodiegetic,detective,1980s
rf1241,rf1241,Daeninckx,male,Bourreau,1986,narrative,novel,policier,neopolar,heterodiegetic,detective,1980s
rf1246,rf1246,Daeninckx,male,LumiereNoire,1987,narrative,novel,policier,neopolar,mixed,detective,1980s
rf1016,rf1016,Daeninckx,male,MortNOublie,1989,narrative,novel,policier,neopolar,heterodiegetic,victime,1980s
rf1244,rf1244,Daeninckx,male,FacteurFatal,1990,narrative,novel,policier,neopolar,heterodiegetic,detective,1990s
rf1249,rf1249,Daeninckx,male,ChateauBoheme,1994,narrative,novel,policier,neopolar,heterodiegetic,detective,1990s
rf1018,rf1018,Daeninckx,male,NazisMetro,1996,narrative,novel,policier,neopolar,heterodiegetic,detective,1990s
rf1017,rf1017,Daeninckx,male,MortPremier,1997,narrative,novel,policier,neopolar,heterodiegetic,detective,1990s
rf1240,rf1240,Daeninckx,male,DouzeRueMeckert,2001,narrative,novel,policier,neopolar,homodiegetic,detective,2000s
rf1019,rf1019,Daeninckx,male,RouteRom,2003,narrative,novel,policier,neopolar,heterodiegetic,detective,2000s
rf1013,rf1013,Daeninckx,male,JeTue,2003,narrative,novel,policier,litteraire,homodiegetic,mixed,2000s
rf1010,rf1010,Daeninckx,male,CrimeSaintAdresse,2004,narrative,novel,policier,neopolar,heterodiegetic,detective,2000s
rf1012,rf1012,Daeninckx,male,Itineraire,2006,narrative,novel,policier,neopolar,heterodiegetic,criminal,2000s
rf1011,rf1011,Daeninckx,male,Galadio,2009,narrative,novel,policier,n.av.,n.av.,n.av.,2000s
rf1014,rf1014,Daeninckx,male,LouerCommission,2009,narrative,novel,policier,n.av.,n.av.,n.av.,2000s
rf1192,rf1192,Dard,male,ReglezLuiCompte,1949,narrative,novel,policier,other,homodiegetic,detective,1940s
rf1105,rf1105,Dard,male,HommagesDonzelle,1952,narrative,novel,policier,other,homodiegetic,detective,1950s
rf1193,rf1193,Dard,male,PlombTripes,1953,narrative,novel,policier,other,homodiegetic,detective,1950s
rf1204,rf1204,Dard,male,BourreauPleure,1956,narrative,novel,policier,noir,homodiegetic,criminal,1950s
rf1208,rf1208,Dard,male,OnMeurtPas,1956,narrative,novel,policier,noir,homodiegetic,criminal,1950s
rf1205,rf1205,Dard,male,PainFossoyeurs,1956,narrative,novel,policier,noir,homodiegetic,mixed,1950s
rf1106,rf1106,Dard,male,SanAntonioMac,1961,narrative,novel,policier,other,homodiegetic,detective,1960s
rf1203,rf1203,Dard,male,Accident,1961,narrative,novel,policier,noir,homodiegetic,criminel,1960s
rf1195,rf1195,Dard,male,GalaEmplumes,1963,narrative,novel,policier,other,homodiegetic,detective,1960s
rf1209,rf1209,Dard,male,MarchaitTombe,1963,narrative,novel,policier,noir,heterodiegetic,criminal,1960s
rf1103,rf1103,Dard,male,MoiVousConnaissez,1971,narrative,novel,policier,other,homodiegetic,detective,1970s
rf1202,rf1202,Dard,male,Initiation,1971,narrative,novel,policier,suspense,heterodiegetic,criminal,1970s
rf1107,rf1107,Dard,male,JaiEssaye,1973,narrative,novel,policier,other,homodiegetic,detective,1970s
rf1198,rf1198,Dard,male,Concerto,1976,narrative,novel,policier,other,homodiegetic,detective,1970s
rf1108,rf1108,Dard,male,FaisMoi,1978,narrative,novel,policier,other,homodiegetic,detective,1970s
rf1100,rf1100,Dard,male,AlicePaysMerguez,1986,narrative,novel,policier,other,mixed,detective,1980s
rf1190,rf1190,Dard,male,ValsezPouffiasses,1989,narrative,novel,policier,other,homodiegetic,detective,1980s
rf1104,rf1104,Dard,male,CochonsLaches,1991,narrative,novel,policier,other,heterodiegetic,detective,1990s
rf1109,rf1109,Dard,male,CeciPipe,1999,narrative,novel,policier,other,homodiegetic,detective,1990s
rf1196,rf1196,Dard,male,TrempePain,1999,narrative,novel,policier,other,homodiegetic,detective,1990s
rf1234,rf1234,Echenoz,male,MeridienGreenwich,1979,narrative,novel,policier,litteraire,heterodiegetic,criminal,1970s
rf1231,rf1231,Echenoz,male,Cherokee,1983,narrative,novel,policier,litteraire,heterodiegetic,detective,1980s
rf0628,rf0628,FevalPP,male,MysteresLondres3,1843,narrative,novel,policier,archaique,heterodiegetic,criminal,1840s
rf0620,rf0620,FevalPP,male,MysteresLondres1,1843,narrative,novel,policier,criminel,heterodiegetic,criminal,1840s
rf0627,rf0627,FevalPP,male,MysteresLondres2,1843,narrative,novel,policier,archaique,heterodiegetic,criminal,1840s
rf0607,rf0607,FevalPP,male,ErrantsNuit,1857,narrative,novel,policier,archaique,heterodiegetic,victim,1850s
rf0630,rf0630,FevalPP,male,HabitsNoirs1,1863,narrative,novel,policier,criminel,heterodiegetic,criminal,1860s
rf0611,rf0611,FevalPP,male,HabitsNoirs2Coeur,1865,narrative,novel,policier,criminel,heterodiegetic,criminal,1860s
rf0637,rf0637,FevalPP,male,HabitsNoirs6Avaleur,1867,narrative,novel,policier,criminel,heterodiegetic,criminel,1860s
rf0632,rf0632,FevalPP,male,HabitsNoirs3Rue,1868,narrative,novel,policier,criminel,heterodiegetic,criminel,1860s
rf0635,rf0635,FevalPP,male,HabitsNoirs7Compagnons,1872,narrative,novel,policier,criminel,heterodiegetic,criminal,1870s
rf0614,rf0614,FevalPP,male,HommeSansBras,1881,narrative,novel,policier,archaique,heterodiegetic,victim,1880s
rf1020,rf1020,Gaboriau,male,AffaireLerouge,1865,narrative,novel,policier,detection,heterodiegetic,detective,1860s
rf1155,rf1155,Gaboriau,male,CrimeOrcival,1866,narrative,novel,policier,archaique,heterodiegetic,detective,1860s
rf1029,rf1029,Gaboriau,male,EsclavesParis2,1867,narrative,novel,policier,detection,heterodiegetic,detective,1860s
rf1028,rf1028,Gaboriau,male,EsclavesParis1,1868,narrative,novel,policier,criminel,heterodiegetic,criminal,1860s
rf1158,rf1158,Gaboriau,male,MonsieurLecoq1,1869,narrative,novel,policier,archaique,heterodiegetic,detective,1860s
rf1159,rf1159,Gaboriau,male,MonsieurLecoq2,1869,narrative,novel,policier,archaique,heterodiegetic,detective,1860s
rf1151,rf1151,Gaboriau,male,CordeCou1,1873,narrative,novel,policier,archaique,heterodiegetic,suspect,1870s
rf1152,rf1152,Gaboriau,male,CordeCou2,1873,narrative,novel,policier,archaique,heterodiegetic,suspect,1870s
rf1021,rf1021,Gaboriau,male,Argent1HommesPaille,1874,narrative,novel,policier,criminel,heterodiegetic,criminal,1870s
rf1022,rf1022,Gaboriau,male,Argent2,1874,narrative,novel,policier,criminel,heterodiegetic,crminal,1870s
rf1150,rf1150,Gaboriau,male,AmoursEmpoisonneuse,1881,narrative,novel,policier,archaique,heterodiegetic,criminal,1880s
rf0360,rf0360,Galopin,male,GreenPark,1910,narrative,novel,policier,detection,homodiegetic,detective,1910s
rf0361,rf0361,Galopin,male,MemoiresCambrioleur,1922,narrative,novel,policier,archaique,homodiegetic,criminal,1920s
rf1271,rf1271,Izzo,male,Kheops,1995,narrative,novel,policier,noir,homodiegetic,detective,1990s
rf1270,rf1270,Izzo,male,Chourmo,1996,narrative,novel,policier,noir,heterodiegetic,detective,1990s
rf1272,rf1272,Izzo,male,Solea,1998,narrative,novel,policier,neopolar,homodiegetic,detective,1990s
rf1036,rf1036,Japrisot,male,CompartimentTueurs,1962,narrative,novel,policier,noir,heterodiegetic,detective,1960s
rf1035,rf1035,Japrisot,male,PiegeCendrillon,1963,narrative,novel,policier,litteraire,mixed,mixed,1960s
rf1031,rf1031,Japrisot,male,DameAutoLunettes,1966,narrative,novel,policier,neopolar,mixed,victim,1960s
rf1032,rf1032,Japrisot,male,EteMeurtrier,1977,narrative,novel,policier,neopolar,homodiegetic,mixed,1970s
rf1034,rf1034,Japrisot,male,PassagerPluie,1992,narrative,novel,policier,other,heterodiegetic,victim,1990s
rf0689,rf0689,Khadra,male,Morituri,1997,narrative,novel,policier,noir,homodiegetic,detective,1990s
rf0690,rf0690,Khadra,male,DoubleBlancKh,1998,narrative,novel,policier,noir,homodiegetic,detective,1990s
rf0691,rf0691,Khadra,male,AutomneChimeres,1998,narrative,novel,policier,noir,homodiegetic,detective,1990s
rf0508,rf0508,Khadra,male,PartDuMort,2004,narrative,novel,policier,thriller,homodiegetic,detective,2000s
rf1037,rf1037,Leblanc,male,AiguilleCreuse,1909,narrative,novel,policier,archaique,heterodiegetic,criminal,1900s
rf1044,rf1044,Leblanc,male,HuitCentTreize,1910,narrative,novel,policier,archaique,heterodiegetic,criminal,1910s
rf1038,rf1038,Leblanc,male,BouchonCristal,1912,narrative,novel,policier,archaique,heterodiegetic,criminal,1910s
rf1140,rf1140,Leblanc,male,EclatObus,1916,narrative,novel,policier,archaique,heterodiegetic,detective,1910s
rf1144,rf1144,Leblanc,male,CercleRouge,1917,narrative,novel,policier,archaique,heterodiegetic,criminal,1910s
rf1141,rf1141,Leblanc,male,IleTrenteCercueils,1920,narrative,novel,policier,archaique,heterodiegetic,detective,1920s
rf1145,rf1145,Leblanc,male,DemoiselleYeuxVerts,1927,narrative,novel,policier,archaique,heterodiegetic,criminal,1920s
rf1146,rf1146,Leblanc,male,DemeureMysterieuse,1929,narrative,novel,policier,archaique,heterodiegetic,detective,1920s
rf1148,rf1148,Leblanc,male,MinuitSeptHeures,1931,narrative,novel,policier,suspense,heterodiegetic,victime,1930s
rf1147,rf1147,Leblanc,male,BarreYVa,1931,narrative,novel,policier,archaique,heterodiegetic,detective,1930s
rf1046,rf1046,Leblanc,male,VictorBrigade,1933,narrative,novel,policier,archaique,heterodiegetic,detective,1930s
rf1149,rf1149,Leblanc,male,FemmeDeuxSourires,1933,narrative,novel,policier,archaique,heterodiegetic,criminal,1930s
rf1040,rf1040,Leblanc,male,ChapeletRouge,1934,narrative,novel,policier,archaique,heterodiegetic,detective,1930s
rf1039,rf1039,Leblanc,male,CagliostroSeVenge,1935,narrative,novel,policier,archaique,heterodiegetic,criminal,1930s
rf1045,rf1045,Leblanc,male,MillardsLupin,1941,narrative,novel,policier,archaique,heterodiegetic,victim,1940s
rf0388,rf0388,LeRouge,male,AventuresToddMarvel2,1923,narrative,short_novels,policier,archaique,heterodiegetic,detective,1920s
rf0389,rf0389,LeRouge,male,DameNoire,1923,narrative,novel,policier,espionnage,heterodiegetic,criminal,1920s
rf0391,rf0391,LeRouge,male,AventuresToddMarvel1,1923,narrative,short_novels,policier,detection,heterodiegetic,detective,1920s
rf1120,rf1120,Leroux,male,DoubleVie,1903,narrative,novel,policier,archaique,heterodiegetic,criminel,1900s
rf1054,rf1054,Leroux,male,MystereChambre,1907,narrative,novel,policier,archaique,homodiegetic,detective,1900s
rf1121,rf1121,Leroux,male,ParfumDameNoir,1908,narrative,novel,policier,archaique,heterodiegetic,detective,1900s
rf1122,rf1122,Leroux,male,RoiMystere,1909,narrative,novel,policier,archaique,heterodiegetic,criminal,1900s
rf1128,rf1128,Leroux,male,FauteuilHanté,1909,narrative,novel,policier,archaique,heterodiegetic,detective,1900s
rf1129,rf1129,Leroux,male,ReineSabbat,1911,narrative,novel,policier,archaique,heterodiegetic,criminal,1910s
rf1123,rf1123,Leroux,male,Balaoo,1911,narrative,novel,policier,archaique,heterodiegetic,detective,1910s
rf1124,rf1124,Leroux,male,RouletabilleTsar,1913,narrative,novel,policier,archaique,heterodiegetic,detection,1910s
rf1049,rf1049,Leroux,male,ChateauNoir,1914,narrative,novel,policier,archaique,heterodiegetic,detective,1910s
rf1125,rf1125,Leroux,male,EtrangesNoces,1916,narrative,novel,policier,archaique,heterodiegetic,detective,1910s
rf1052,rf1052,Leroux,male,RouletabilleKrupp,1917,narrative,novel,policier,archaique,heterodiegetic,detective,1910s
rf1126,rf1126,Leroux,male,HommeRevientLoin,1917,narrative,novel,policier,archaique,heterodiegetic,criminal,1910s
rf1127,rf1127,Leroux,male,RouletabilleBohémiens,1922,narrative,novel,policier,archaique,heterodiegetic,detective,1920s
rf1050,rf1050,Leroux,male,Tenebreuses1FinMonde,1924,narrative,novel,policier,archaique,heterodiegetic,detective,1920s
rf1051,rf1051,Leroux,male,FilsTroisPeres,1925,narrative,novel,policier,archaique,heterodiegetic,criminal,1920s
rf1056,rf1056,Leroux,male,Tenebreuses2SangNeva,1925,narrative,novel,policier,archaique,heterodiegetic,detective,1920s
rf1280,rf1280,Magnan,male,SangAtrides,1977,narrative,novel,policier,noir,heterodiegetic,detective,1970s
rf1277,rf1277,Magnan,male,Commissaire,1978,narrative,novel,policier,noir,heterodiegetic,detective,1970s
rf1276,rf1276,Magnan,male,Charbonniers,1988,narrative,novel,policier,noir,heterodiegetic,detective,1980s
rf1279,rf1279,Magnan,male,Chronique,2008,narrative,novel,policier,noir,heterodiegetic,detective,2000s
rf1220,rf1220,Malet,male,Johnny,1941,narrative,novel,policier,noir,homodiegetic,detective,1940s
rf1221,rf1221,Malet,male,HommeSangBleu,1942,narrative,novel,policier,noir,homodiegetic,detective,1940s
rf1059,rf1059,Malet,male,CentVingtRueGare,1943,narrative,novel,policier,noir,homodiegetic,detective,1940s
rf1222,rf1222,Malet,male,AubergeBanlieue,1945,narrative,novel,policier,noir,homodiegetic,detective,1940s
rf1130,rf1130,Malet,male,CinquiemeProcede,1948,narrative,novel,policier,noir,homodiegetic,detective,1940s
rf1131,rf1131,Malet,male,VieDegueulasse,1948,narrative,novel,policier,noir,homodiegetic,criminal,1940s
rf1223,rf1223,Malet,male,Sueur,1949,narrative,novel,policier,noir,homodiegetic,criminal,1940s
rf1066,rf1066,Malet,male,SoleilPasPourNous,1949,narrative,novel,policier,noir,homodiegetic,criminal,1940s
rf1132,rf1132,Malet,male,Macchabee,1949,narrative,novel,policier,noir,homodiegetic,detective,1940s
rf1225,rf1225,Malet,male,GangMysterieux,1952,narrative,novel,policier,noir,homodiegetic,detective,1950s
rf1133,rf1133,Malet,male,SoleilNait,1954,narrative,novel,policier,noir,homodiegetic,detective,1950s
rf1064,rf1064,Malet,male,FievreMarais,1955,narrative,novel,policier,noir,homodiegetic,detective,1950s
rf1134,rf1134,Malet,male,RatsMontsouris,1955,narrative,novel,policier,noir,homodiegetic,detective,1950s
rf1227,rf1227,Malet,male,BrouillardTolbiac,1956,narrative,novel,policier,noir,homodiegetic,detective,1950s
rf1136,rf1136,Malet,male,PasDeBavards,1956,narrative,novel,policier,noir,homodiegetic,detective,1950s
rf1139,rf1139,Malet,male,EnvahissantCadavre,1959,narrative,novel,policier,noir,homodiegetic,detective,1950s
rf1062,rf1062,Malet,male,BurmaEnDirect,1962,narrative,novel,policier,noir,homodiegetic,detective,1960s
rf1058,rf1058,Malet,male,BurmaBercail,1967,narrative,novel,policier,noir,homodiegetic,detective,1960s
rf1063,rf1063,Malet,male,DroleEpreuve,1968,narrative,novel,policier,noir,homodiegetic,detective,1960s
rf1061,rf1061,Malet,male,CroqueMort,1969,narrative,novel,policier,noir,homodiegetic,detective,1960s
rf1065,rf1065,Malet,male,BurmaDansIle,1970,narrative,novel,policier,noir,homodiegetic,detective,1970s
rf1060,rf1060,Malet,male,BurmaCourtPoupee,1971,narrative,novel,policier,noir,homodiegetic,detective,1970s
rf1057,rf1057,Malet,male,AbattoirEnsoleille,1972,narrative,novel,policier,noir,homodiegetic,detective,1970s
rf1067,rf1067,Manchette,male,AffaireNGustro,1971,narrative,novel,policier,neopolar,mixed,criminal,1970s
rf1072,rf1072,Manchette,male,DingosChateaux,1972,narrative,novel,policier,noir,heterodiegetic,victim,1970s
rf1071,rf1071,Manchette,male,Nada,1972,narrative,novel,policier,neopolar,heterodiegetic,criminal,1970s
rf1070,rf1070,Manchette,male,MorguePleine,1973,narrative,novel,policier,noir,homodiegetic,detective,1970s
rf1076,rf1076,Manchette,male,QuedOs,1976,narrative,novel,policier,noir,homodiegetic,detective,1970s
rf1073,rf1073,Manchette,male,PetitBleu,1976,narrative,novel,policier,noir,heterodiegetic,victim,1970s
rf1068,rf1068,Manchette,male,Fatale,1977,narrative,novel,policier,neopolar,heterodiegetic,criminal,1970s
rf1074,rf1074,Manchette,male,PositionTireur,1981,narrative,novel,policier,noir,heterodiegetic,criminal,1980s
rf1075,rf1075,Manchette,male,PrincesseSang,1996,narrative,novel,policier,noir,heterodiegetic,victim,1990s
rf1069,rf1069,Manchette,male,Iris,1997,narrative,novel,policier,other,heterodiegetic,detective,1990s
rf0522,rf0522,Manotti,female,SombreSentier,1995,narrative,novel,policier,noir,heterodiegetic,detective,1990s
rf0523,rf0523,Manotti,female,CorpsNoir,2004,narrative,novel,policier,neopolar,heterodiegetic,criminal,2000s
rf0524,rf0524,Manotti,female,BienConnuServices,2009,narrative,novel,policier,noir,heterodiegetic,detective,2000s
rf0236,rf0236,Modiano,male,RueBoutiques,1978,narrative,novel,policier,litteraire,n.av.,detective,1970s
rf0555,rf0555,Pecherot,male,HommeCarabine,2009,narrative,novel,policier,noir,n.av.,n.av.,2000s
rf0676,rf0676,Pennac,male,Malaussene1BonheurOgres,1985,narrative,novel,policier,other,homodiegetic,suspect,1980s
rf0673,rf0673,Pennac,male,Malaussene2FeeCarabine,1987,narrative,novel,policier,other,homodiegetic,detective,1980s
rf0682,rf0682,Pennac,male,Malaussene3PetiteMarchande,1989,narrative,novel,policier,other,homodiegetic,detective,1980s
rf0678,rf0678,Pennac,male,Malaussene4MonsieurM,1995,narrative,novel,policier,other,mixed,suspect,1990s
rf0675,rf0675,Pennac,male,Malaussene6FruitsPassion,1999,narrative,novel,policier,other,homodiegetic,detective,1990s
rf1162,rf1162,Ponson,male,ClubValets2,1858,narrative,novel,policier,archaique,heterodiegetic,criminal,1850s
rf1161,rf1161,Ponson,male,ClubValets1,1858,narrative,novel,policier,archaique,heterodiegetic,criminal,1850s
rf1170,rf1170,Ponson,male,ExploitsRocambole2,1859,narrative,novel,policier,archaique,heterodiegetic,criminal,1850s
rf1171,rf1171,Ponson,male,ExploitsRocambole3,1859,narrative,novel,policier,archaique,heterodiegetic,criminal,1850s
rf1169,rf1169,Ponson,male,ExploitsRocambole1,1859,narrative,novel,policier,archaique,heterodiegetic,criminal,1850s
rf1160,rf1160,Ponson,male,Chevaliers,1860,narrative,novel,policier,archaique,heterodiegetic,criminal,1860s
rf1179,rf1179,Ponson,male,TestamentGrainDeSel,1862,narrative,novel,policier,archaique,heterodiegetic,criminal,1860s
rf1177,rf1177,Ponson,male,ResurrectionRocambole2,1866,narrative,novel,policier,archaique,heterodiegetic,criminal,1860s
rf1176,rf1176,Ponson,male,ResurrectionRocambole1,1866,narrative,novel,policier,archaique,heterodiegetic,criminal,1860s
rf1178,rf1178,Ponson,male,ResurrectionRocambole3,1866,narrative,novel,policier,archaique,heterodiegetic,criminal,1860s
rf1166,rf1166,Ponson,male,DernierMot2,1867,narrative,novel,policier,archaique,heterodiegetic,criminal,1860s
rf1165,rf1165,Ponson,male,DernierMot4,1867,narrative,novel,policier,archaique,heterodiegetic,criminal,1860s
rf1167,rf1167,Ponson,male,DernierMot3,1867,narrative,novel,policier,archaique,heterodiegetic,criminal,1860s
rf1173,rf1173,Ponson,male,MiseresLondres2,1868,narrative,novel,policier,archaique,heterodiegetic,criminal,1860s
rf1172,rf1172,Ponson,male,MiseresLondres1,1868,narrative,novel,policier,archaique,heterodiegetic,criminal,1860s
rf1168,rf1168,Ponson,male,RocambolePrison,1869,narrative,novel,policier,archaique,heterodiegetic,criminal,1860s
rf1164,rf1164,Ponson,male,CordePendu2,1870,narrative,novel,policier,archaique,heterodiegetic,criminal,1870s
rf1163,rf1163,Ponson,male,CordePendu1,1870,narrative,novel,policier,archaique,heterodiegetic,criminal,1870s
rf1079,rf1079,Pouy,male,BelleFontenay,1992,narrative,novel,policier,neopolar,homodiegetic,detective,1990s
rf1081,rf1081,Pouy,male,PetiteEcuyere,1995,narrative,novel,policier,neopolar,heterodiegetic,detective,1990s
rf1183,rf1183,Pouy,male,Larchmutz,1999,narrative,novel,policier,neopolar,homodiegetic,criminal,1990s
rf1077,rf1077,Pouy,male,MilleDeuxCent,2000,narrative,novel,policier,other,homodiegetic,detective,2000s
rf1180,rf1180,Pouy,male,TrainPerduWagon,2003,narrative,novel,policier,neopolar,homodiegetic,n.av.,2000s
rf1082,rf1082,Pouy,male,Nus,2007,narrative,novel,policier,neopolar,heterodiegetic,detective,2000s
rf1281,rf1281,RobbeGrillet,male,Gommes,1953,narrative,novel,policier,litteraire,heterodiegetic,detective,1950s
rf0670,rf0670,Ryck,male,FeuVertPoissonsRouges,1967,narrative,novel,policier,espionnage,heterodiegetic,criminal,1960s
rf0664,rf0664,Ryck,male,PeauTorpedo,1968,narrative,novel,policier,espionnage,heterodiegetic,criminal,1960s
rf0669,rf0669,Ryck,male,CimetiereDurs,1968,narrative,novel,policier,noir,heterodiegetic,criminal,1960s
rf0662,rf0662,Ryck,male,DrolePistolet,1969,narrative,novel,policier,espionnage,heterodiegetic,criminal,1960s
rf0659,rf0659,Ryck,male,ParisMourir,1969,narrative,novel,policier,noir,heterodiegetic,detective,1960s
rf0665,rf0665,Ryck,male,Incroyant,1970,narrative,novel,policier,espionnage,heterodiegetic,criminal,1970s
rf0668,rf0668,Ryck,male,VoulezVousMourir,1973,narrative,novel,policier,noir,heterodiegetic,criminal,1970s
rf0666,rf0666,Ryck,male,IntentionsPacifiques,1977,narrative,novel,policier,other,heterodiegetic,criminal,1970s
rf0667,rf0667,Ryck,male,Piege,1981,narrative,novel,policier,thriller,heterodiegetic,suspect,1980s
rf0661,rf0661,Ryck,male,ConseilFamille,1983,narrative,novel,policier,noir,homodiegetic,criminal,1980s
rf0663,rf0663,Ryck,male,AutobiographieTueur,1987,narrative,novel,policier,thriller,homodiegetic,victim,1980s
rf1110,rf1110,Simenon,male,TeteHomme,1931,narrative,novel,policier,detection,heterodiegetic,detective,1930s
rf1085,rf1085,Simenon,male,MonsieurGallet,1931,narrative,novel,policier,detection,heterodiegetic,detective,1930s
rf1090,rf1090,Simenon,male,PietrLetton,1931,narrative,novel,policier,detection,heterodiegetic,detective,1930s
rf1111,rf1111,Simenon,male,MaigretFlamands,1932,narrative,novel,policier,detection,heterodiegetic,detective,1930s
rf1112,rf1112,Simenon,male,FouBergerac,1932,narrative,novel,policier,detection,heterodiegetic,detective,1930s
rf1089,rf1089,Simenon,male,MaigretNewYork,1947,narrative,novel,policier,detection,heterodiegetic,detective,1940s
rf1113,rf1113,Simenon,male,MaigretMort,1947,narrative,novel,policier,detection,heterodiegetic,detective,1940s
rf1088,rf1088,Simenon,male,MaigretLognon,1952,narrative,novel,policier,detection,heterodiegetic,detective,1950s
rf1117,rf1117,Simenon,male,ConfidenceMaigret,1959,narrative,novel,policier,detection,heterodiegetic,detective,1950s
rf1215,rf1215,Simenon,male,Vieille,1959,narrative,novel,policier,noir,heterodiegetic,criminal,1950s
rf1084,rf1084,Simenon,male,MaigreVoleur,1961,narrative,novel,policier,detection,heterodiegetic,detective,1960s
rf1217,rf1217,Simenon,male,TrainVenise,1965,narrative,novel,policier,other,heterodiegetic,victim,1960s
rf1091,rf1091,Simenon,male,AffaireNahour,1966,narrative,novel,policier,detection,heterodiegetic,detective,1960s
rf1219,rf1219,Simenon,male,Prison,1967,narrative,novel,policier,detection,heterodiegetic,detective,1960s
rf1086,rf1086,Simenon,male,MaigretHesite,1968,narrative,novel,policier,detection,heterodiegetic,detective,1960s
rf1092,rf1092,Simenon,male,FolleMaigret,1970,narrative,novel,policier,noir,heterodiegetic,detective,1970s
rf0578,rf0578,SouvAllain,male,MainCoupee,1911,narrative,novel,policier,archaique,heterodiegetic,criminal,1910s
rf0585,rf0585,SouvAllain,male,JuveFantomas,1911,narrative,novel,policier,archaique,heterodiegetic,criminal,1910s
rf0604,rf0604,SouvAllain,male,RoiPrisonnier,1911,narrative,novel,policier,archaique,heterodiegetic,criminal,1910s
rf0603,rf0603,SouvAllain,male,GuepeRouge,1912,narrative,novel,policier,archaique,heterodiegetic,criminal,1910s
rf0581,rf0581,SouvAllain,male,SouliersMort,1912,narrative,novel,policier,archaique,heterodiegetic,criminal,1910s
rf0587,rf0587,SouvAllain,male,EvadeeSaintLazare,1912,narrative,novel,policier,archaique,heterodiegetic,criminal,1910s
rf0580,rf0580,SouvAllain,male,TrainPerduSA,1912,narrative,novel,policier,archaique,heterodiegetic,suspect,1910s
rf0579,rf0579,SouvAllain,male,MariageFantomas,1912,narrative,novel,policier,archaique,heterodiegetic,criminal,1910s
rf0584,rf0584,SouvAllain,male,VoleurOr,1913,narrative,novel,policier,archaique,heterodiegetic,criminal,1910s
rf0582,rf0582,SouvAllain,male,FaiseurReines,1913,narrative,novel,policier,criminel,heterodiegetic,criminal,1910s
rf0583,rf0583,SouvAllain,male,CadavreGeant,1913,narrative,novel,policier,criminel,heterodiegetic,criminal,1910s
rf1096,rf1096,Vargas,female,JeuxAmourMort,1986,narrative,novel,policier,noir,heterodiegetic,suspect,1980s
rf1185,rf1185,Vargas,female,DeboutMorts,1995,narrative,novel,policier,noir,heterodiegetic,detective,1990s
rf1188,rf1188,Vargas,female,PeuPlusLoin,1996,narrative,novel,policier,noir,heterodiegetic,detective,1990s
rf1186,rf1186,Vargas,female,HommeCerclesBleus,1996,narrative,novel,policier,noir,heterodiegetic,detective,1990s
rf1093,rf1093,Vargas,female,ArmeeFurieuse,1996,narrative,novel,policier,noir,heterodiegetic,detective,1990s
